iter	RMSE
0	2.690344023
1	2.629901521
2	2.573768364
3	2.521910406
4	2.473644988
5	2.429300436
6	2.388951698
7	2.350422967
8	2.315282641
9	2.282495176
10	2.252238427
11	2.224449663
12	2.199014496
13	2.175649518
14	2.153873042
15	2.133458958
16	2.114770684
17	2.097764757
18	2.08206302
19	2.066923591
20	2.053698677
21	2.041103673
22	2.029796024
23	2.019319299
24	2.00965335
25	2.000657619
26	1.992272207
27	1.984660721
28	1.977704113
29	1.971064065
30	1.964761313
31	1.959018832
32	1.95382959
33	1.948878731
34	1.944016542
35	1.939541978
36	1.935736019
37	1.932079166
38	1.92873195
39	1.925259456
40	1.921871051
41	1.918882724
42	1.915968386
43	1.913576668
44	1.911115436
45	1.908438004
46	1.906035405
47	1.904031439
48	1.902265646
49	1.900102474
50	1.898369923
51	1.896439861
52	1.894596036
53	1.893021762
54	1.891561624
55	1.890058613
56	1.888702506
57	1.887525634
58	1.886119404
59	1.884824095
60	1.883411576
61	1.882495321
62	1.881081286
63	1.879784185
64	1.878911197
65	1.877863049
66	1.876645307
67	1.875775967
68	1.874530765
69	1.873764923
70	1.872705106
71	1.872015079
72	1.871152017
73	1.870171031
74	1.869459333
75	1.868833261
76	1.867881546
77	1.867254755
78	1.866585511
79	1.866021107
80	1.865295611
81	1.86473061
82	1.863917294
83	1.863460032
84	1.862828342
85	1.861998377
86	1.861354229
87	1.860583934
88	1.859864597
89	1.859003861
90	1.858371646
91	1.857993872
92	1.857622645
93	1.857359393
94	1.856563435
95	1.855702333
96	1.8551917
97	1.854702015
98	1.854066758
99	1.853823185
100	1.853575057
101	1.853052257
102	1.852674752
103	1.852302529
104	1.851958041
105	1.851544364
106	1.8512942
107	1.851013662
108	1.850402298
109	1.849417562
110	1.849115789
111	1.84890622
112	1.848583922
113	1.848040477
114	1.847733133
115	1.847361746
116	1.846889363
117	1.846407125
118	1.845982078
119	1.845739945
120	1.845147898
121	1.844328396
122	1.843713008
123	1.843461663
124	1.842983242
125	1.842734466
126	1.842085503
127	1.841682588
128	1.841201691
129	1.840466226
130	1.840085842
131	1.83993819
132	1.839287639
133	1.839260273
134	1.839050892
135	1.838615282
136	1.83825801
137	1.837968765
138	1.837804281
139	1.83749427
140	1.836781855
141	1.836188154
142	1.835974942
143	1.835498268
144	1.835317832
145	1.834802743
146	1.834462557
147	1.834008202
148	1.833620621
149	1.83337917
150	1.832952928
151	1.832542288
152	1.832003939
153	1.831549808
154	1.831182967
155	1.830653515
156	1.830500085
157	1.830178531
158	1.829834481
159	1.829344724
160	1.828850701
161	1.828416501
162	1.828283962
163	1.82794708
164	1.827719609
165	1.827198822
166	1.826690287
167	1.826154447
168	1.825835916
169	1.82565302
170	1.825155114
171	1.824715759
172	1.824623701
173	1.824239725
174	1.823969267
175	1.823571452
176	1.823364794
177	1.823114979
178	1.822649931
179	1.822226308
180	1.821910421
181	1.82143342
182	1.821110646
183	1.820786644
184	1.820297161
185	1.820064134
186	1.819661884
187	1.81910335
188	1.818940447
189	1.818609806
190	1.818129756
191	1.817881509
192	1.817397731
193	1.816919548
194	1.816677785
195	1.816663122
196	1.816416719
197	1.815954294
198	1.815901605
199	1.815669597
200	1.815275113
201	1.815035945
202	1.814745175
203	1.814697052
204	1.814337573
205	1.814019119
206	1.813584306
207	1.813181149
208	1.81302234
209	1.812784958
210	1.812676724
211	1.812264166
212	1.811898742
213	1.81141899
214	1.811151752
215	1.811091866
216	1.810728578
217	1.810262871
218	1.809831517
219	1.809641761
220	1.809126834
221	1.808825131
222	1.808451733
223	1.8081026
224	1.807827914
225	1.807576474
226	1.807514606
227	1.807372086
228	1.80701049
229	1.806632769
230	1.806207257
231	1.805836592
232	1.805487508
233	1.80510693
234	1.804890815
235	1.804489527
236	1.804228319
237	1.804043757
238	1.803672472
239	1.803495793
240	1.80331941
241	1.802971572
242	1.802559
243	1.802289229
244	1.802022057
245	1.80177657
246	1.80152983
247	1.801220973
248	1.800890165
249	1.800513871
250	1.800216823
251	1.799910274
252	1.799585159
253	1.799239021
254	1.79890365
255	1.798584621
256	1.798234788
257	1.797950653
258	1.79782751
259	1.797560032
260	1.797245076
261	1.796941089
262	1.796749455
263	1.796435336
264	1.796281737
265	1.795973442
266	1.79587269
267	1.795522797
268	1.795319173
269	1.794968988
270	1.794853235
271	1.794685126
272	1.794240844
273	1.793920775
274	1.793707695
275	1.793530278
276	1.793261586
277	1.793142882
278	1.792902942
279	1.792603984
280	1.792423199
281	1.792113342
282	1.792001594
283	1.791785668
284	1.791686367
285	1.791536334
286	1.791333634
287	1.791029567
288	1.790908225
289	1.790722542
290	1.790360318
291	1.790194828
292	1.790143278
293	1.789850169
294	1.789725019
295	1.789366598
296	1.78906367
297	1.788944749
298	1.788538787
299	1.788406744
300	1.788154837
301	1.787887539
302	1.787796124
303	1.78752931
304	1.787148143
305	1.787034616
306	1.786622714
307	1.786525582
308	1.786225138
309	1.786122752
310	1.785853679
311	1.785776498
312	1.785690028
313	1.785397027
314	1.785176792
315	1.785043011
316	1.784877039
317	1.78465282
318	1.784394332
319	1.78407654
320	1.783972174
321	1.783665668
322	1.783433766
323	1.783177781
324	1.783039047
325	1.782927496
326	1.78264041
327	1.782276219
328	1.781936547
329	1.781678417
330	1.781430384
331	1.781078243
332	1.780789797
333	1.780563501
334	1.780306074
335	1.779969593
336	1.779735087
337	1.779660746
338	1.779425421
339	1.779204163
340	1.778892944
341	1.778533818
342	1.778383194
343	1.778179347
344	1.777953719
345	1.777636819
346	1.777567023
347	1.777404281
348	1.777215531
349	1.776908748
350	1.776549231
351	1.776452069
352	1.776342709
353	1.77614961
354	1.775994621
355	1.775798847
356	1.775674636
357	1.775399992
358	1.775214146
359	1.774953667
360	1.774938487
361	1.774724947
362	1.774494102
363	1.774322751
364	1.774309259
365	1.774006036
366	1.773892068
367	1.773872171
368	1.77385819
369	1.773668836
370	1.773434799
371	1.773208889
372	1.772929717
373	1.772899814
374	1.772649162
375	1.77247999
376	1.772212931
377	1.771955205
378	1.771742665
379	1.771464052
380	1.771453975
381	1.771425929
382	1.771236089
383	1.77115706
384	1.770979613
385	1.770820069
386	1.770697253
387	1.770476912
388	1.77039255
389	1.770222355
390	1.769843866
391	1.76973644
392	1.769666017
393	1.769514958
394	1.769293983
395	1.769284166
396	1.769135672
397	1.768847306
398	1.768601201
399	1.76825201
400	1.768149776
401	1.768132011
402	1.767994145
403	1.767602474
404	1.767514334
405	1.767323491
406	1.766946655
407	1.766856692
408	1.766653848
409	1.766581922
410	1.766471821
411	1.76631849
412	1.766057009
413	1.765721849
414	1.765596057
415	1.765159666
416	1.765150825
417	1.765028752
418	1.765017979
419	1.76500907
420	1.764839483
421	1.764822348
422	1.764798109
423	1.764437408
424	1.764428849
425	1.764414884
426	1.76425798
427	1.764167402
428	1.763980916
429	1.763964417
430	1.7639472
431	1.763924543
432	1.763748532
433	1.763572449
434	1.763538486
435	1.763218326
436	1.763202967
437	1.763196494
438	1.762963931
439	1.762896753
440	1.762794638
441	1.762784424
442	1.762488545
443	1.762312676
444	1.762111271
445	1.762048149
446	1.762033051
447	1.761804807
448	1.761750025
449	1.761523291
450	1.761291138
451	1.7610383
452	1.760848069
453	1.760644538
454	1.760462034
455	1.760202601
456	1.7600328
457	1.759878962
458	1.759866547
459	1.759829602
460	1.759770614
461	1.759764511
462	1.759568117
463	1.759293502
464	1.759049365
465	1.759044044
466	1.758892998
467	1.758447834
468	1.758288434
469	1.758265191
470	1.758251245
471	1.758017678
472	1.75772986
473	1.75771473
474	1.757548761
475	1.757363099
476	1.757276563
477	1.757086477
478	1.756906489
479	1.756743324
480	1.756559544
481	1.756399842
482	1.75632745
483	1.756057115
484	1.755882979
485	1.75568613
486	1.755675182
487	1.755621743
488	1.755616774
489	1.755339114
490	1.755147631
491	1.754935272
492	1.754815547
493	1.754801094
494	1.754644457
495	1.754639761
496	1.754477201
497	1.754274458
498	1.754145626
499	1.75400089
500	1.75399081
501	1.753799903
502	1.753710113
503	1.753364145
504	1.753164451
505	1.752980177
506	1.752922797
507	1.752728648
508	1.752570985
509	1.752410951
510	1.752179596
511	1.751964475
512	1.751763866
513	1.75157869
514	1.751446865
515	1.751233322
516	1.7510549
517	1.750915941
518	1.750815858
519	1.750705859
520	1.750569352
521	1.750356853
522	1.750083867
523	1.749852045
524	1.749726126
525	1.749634228
526	1.749551393
527	1.749415714
528	1.749226455
529	1.748963243
530	1.74894049
531	1.748840521
532	1.7486129
533	1.74841209
534	1.74819213
535	1.748065789
536	1.74793852
537	1.747768678
538	1.747733843
539	1.747489285
540	1.747216278
541	1.747203557
542	1.747031587
543	1.746962354
544	1.746938658
545	1.74668446
546	1.746558285
547	1.746246204
548	1.745951415
549	1.745814413
550	1.745705843
551	1.745530174
552	1.745347932
553	1.745229877
554	1.74511838
555	1.74495025
556	1.744855521
557	1.744850629
558	1.744668887
559	1.744635407
560	1.744557186
561	1.744360983
562	1.744345712
563	1.744210507
564	1.744184352
565	1.744140817
566	1.74397974
567	1.743753355
568	1.743739609
569	1.743604053
570	1.743430877
571	1.743383799
572	1.743223186
573	1.743077365
574	1.742923936
575	1.742919404
576	1.742622862
577	1.742497372
578	1.742284871
579	1.742206646
580	1.742061493
581	1.741820564
582	1.741688628
583	1.741604979
584	1.74146904
585	1.741458783
586	1.741307111
587	1.741056005
588	1.740927408
589	1.740800509
590	1.740654913
591	1.740512883
592	1.740505552
593	1.74045377
594	1.74032584
595	1.740302356
596	1.740091635
597	1.740084703
598	1.739938457
599	1.739791165
600	1.739624569
601	1.739464843
602	1.739458214
603	1.7391983
604	1.739027926
605	1.738972841
606	1.738942411
607	1.73893312
608	1.738881067
609	1.738765894
610	1.73871928
611	1.738707011
612	1.7387007
613	1.738688894
614	1.738586413
615	1.738354438
616	1.73817329
617	1.737978453
618	1.737954915
619	1.737949016
620	1.737849702
621	1.73771679
622	1.73750775
623	1.737502686
624	1.737496899
625	1.737322656
626	1.737302444
627	1.737280257
628	1.737271627
629	1.737250476
630	1.737245027
631	1.737224866
632	1.737204037
633	1.737029954
634	1.736886081
635	1.73684355
636	1.73657593
637	1.736557525
638	1.736327512
639	1.736309258
640	1.736054149
641	1.736036751
642	1.735898895
643	1.735768948
644	1.735623256
645	1.735618006
646	1.735586083
647	1.735566818
648	1.735562878
649	1.735441244
650	1.735259977
651	1.735139424
652	1.735002
653	1.734901668
654	1.734831493
655	1.734816328
656	1.734643356
657	1.73452957
658	1.734487538
659	1.734472536
660	1.734308065
661	1.734181042
662	1.733971319
663	1.733789871
664	1.733611382
665	1.733459141
666	1.733238323
667	1.733205466
668	1.732886992
669	1.732659718
670	1.732490642
671	1.732349196
672	1.732337668
673	1.732270042
674	1.732222168
675	1.732092102
676	1.732051442
677	1.732029641
678	1.732004227
679	1.731820206
680	1.731685303
681	1.731647804
682	1.731461333
683	1.731446409
684	1.731421325
685	1.731257774
686	1.731157693
687	1.730998016
688	1.730884662
689	1.730868226
690	1.730745011
691	1.730611154
692	1.730575384
693	1.730390883
694	1.730237361
695	1.730033432
696	1.730009235
697	1.729690025
698	1.729416392
699	1.729354198
700	1.728966592
701	1.728962209
702	1.728938782
703	1.728746918
704	1.72872382
705	1.728719285
706	1.728572295
