iter	Passed	Remaining
0	478	716967
1	918	688298
2	1335	666617
3	1752	655464
4	2168	648318
5	2592	645441
6	3137	669162
7	3591	669742
8	4060	672688
9	4464	665245
10	4907	664344
11	5338	661991
12	5799	663361
13	6223	660574
14	6681	661439
15	7077	656434
16	7489	653363
17	7900	650478
18	8294	646533
19	8661	640953
20	9091	640325
21	9506	638634
22	9936	638080
23	10357	636984
24	10710	631945
25	11126	630796
26	11522	628597
27	11902	625753
28	12337	625815
29	12709	622789
30	13169	624077
31	13650	626195
32	14132	628260
33	14551	627416
34	14969	626597
35	15418	626998
36	15809	625104
37	16215	623868
38	16676	624721
39	17083	623565
40	17488	622329
41	17873	620468
42	18340	621458
43	18727	619723
44	19218	621399
45	19644	620924
46	20019	618898
47	20431	618065
48	20838	617081
49	21247	616169
50	21731	617439
51	22124	616081
52	22520	614851
53	22923	613832
54	23271	611399
55	23628	609279
56	23998	607545
57	24361	605673
58	24725	603878
59	25082	601988
60	25488	601283
61	25883	600338
62	26257	598915
63	26620	597304
64	26998	596035
65	27344	594116
66	27763	593807
67	28150	592819
68	28526	591622
69	28859	589559
70	29257	588853
71	29646	587993
72	30095	588313
73	30587	589436
74	30984	588711
75	31405	588439
76	31837	588369
77	32219	587380
78	32648	587257
79	33035	586382
80	33452	586031
81	33841	585214
82	34238	584536
83	34618	583577
84	34995	582579
85	35349	581212
86	35781	581135
87	36152	580087
88	36574	579856
89	36963	579089
90	37372	578658
91	37790	578357
92	38173	577533
93	38501	575877
94	38881	575043
95	39264	574240
96	39611	572941
97	39980	571964
98	40346	570963
99	40755	570572
100	41122	569603
101	41528	569190
102	41908	568405
103	42266	567340
104	42661	566782
105	42998	565468
106	43443	565571
107	43844	565100
108	44321	565608
109	44834	566541
110	45251	566253
111	45716	566562
112	46077	565569
113	46420	564374
114	46866	564432
115	47302	564364
116	47702	563873
117	48143	563851
118	48557	563507
119	48970	563166
120	49325	562144
121	49671	561039
122	50049	560310
123	50438	559704
124	50798	558780
125	51187	558187
126	51636	558246
127	51998	557360
128	52371	556598
129	52738	555779
130	53152	555464
131	53506	554522
132	53880	553794
133	54097	551469
134	54444	550498
135	54840	550018
136	55277	549948
137	55710	549842
138	56133	549628
139	56659	550408
140	57489	554098
141	58214	556728
142	59215	561928
143	60649	571116
144	61391	573695
145	62242	577233
146	62984	579716
147	63692	581841
148	64332	583307
149	65028	585252
150	65898	588723
151	66835	592729
152	67696	595999
153	68617	599733
154	69469	602816
155	70458	607027
156	71348	610321
157	72191	613173
158	73016	615817
159	73843	618436
160	74683	621125
161	75540	623911
162	76340	626183
163	77172	628673
164	78072	631678
165	78855	633691
166	79619	635525
167	80442	637796
168	81414	641197
169	82359	644339
170	83301	647415
171	84188	650016
172	84979	651838
173	85841	654171
174	86818	657339
175	87734	660003
176	88553	661903
177	89340	663530
178	90083	664804
179	90922	666767
180	91708	668304
181	92415	669254
182	93280	671312
183	94046	672635
184	94919	674696
185	95642	675668
186	96518	677692
187	97265	678785
188	98115	680576
189	98915	681994
190	99623	682762
191	100434	684207
192	101296	685981
193	102042	686945
194	102779	687835
195	103060	685669
196	103743	686184
197	104474	686997
198	105181	687646
199	105873	688179
200	106740	689827
201	107459	690506
202	108167	691098
203	108911	691907
204	109764	693390
205	110599	694736
206	111507	696520
207	112439	698420
208	113161	699002
209	113920	699798
210	114687	700624
211	115480	701598
212	116298	702703
213	117101	703704
214	117893	704618
215	118659	705364
216	119459	706300
217	120210	706928
218	120961	707539
219	121687	707998
220	122440	708602
221	123108	708705
222	123809	708990
223	124534	709403
224	125177	709338
225	125948	709992
226	126699	710519
227	127448	711029
228	128161	711321
229	128846	711457
230	129543	711647
231	130264	711965
232	130972	712199
233	131682	712433
234	132424	712839
235	133065	712688
236	133720	712611
237	134445	712900
238	135095	712782
239	135756	712720
240	136759	714441
241	137733	715985
242	138208	714932
243	138700	713965
244	139110	712585
245	139521	711217
246	139948	709942
247	140366	708625
248	140780	707294
249	141260	706304
250	141708	705154
251	142156	704013
252	142653	703116
253	143144	702198
254	143691	701554
255	144159	700524
256	144585	699299
257	145007	698061
258	145424	696803
259	145813	695417
260	146194	694004
261	146613	692777
262	146979	691305
263	147369	689956
