iter	RMSE
0	2.6992353
1	2.638570902
2	2.582300187
3	2.530413496
4	2.482513548
5	2.438523468
6	2.397464396
7	2.359250228
8	2.324225266
9	2.290857757
10	2.260882846
11	2.232960546
12	2.207167409
13	2.182949344
14	2.160726301
15	2.140785305
16	2.122649952
17	2.10528254
18	2.089303575
19	2.074472081
20	2.061329974
21	2.048497594
22	2.036933677
23	2.026546226
24	2.016246222
25	2.006953355
26	1.998395048
27	1.990733547
28	1.983485428
29	1.976736376
30	1.970584116
31	1.964845152
32	1.959351262
33	1.954493201
34	1.949859727
35	1.945545491
36	1.941626866
37	1.938060417
38	1.934280591
39	1.930890065
40	1.92752246
41	1.924555186
42	1.921685457
43	1.9191877
44	1.916879125
45	1.91475604
46	1.91270327
47	1.910579804
48	1.908665929
49	1.906464637
50	1.904730191
51	1.90290256
52	1.901199895
53	1.89980067
54	1.898376234
55	1.896645148
56	1.895424175
57	1.894139172
58	1.892828601
59	1.89139782
60	1.890070532
61	1.888995773
62	1.887862371
63	1.886717203
64	1.88580872
65	1.884719575
66	1.883751055
67	1.882876487
68	1.881970295
69	1.880743402
70	1.879865662
71	1.87893438
72	1.878164154
73	1.877527561
74	1.876828363
75	1.875926477
76	1.875160387
77	1.874617524
78	1.873797268
79	1.872985288
80	1.872556606
81	1.872145982
82	1.871683503
83	1.870992083
84	1.870442296
85	1.869601743
86	1.869064523
87	1.868649698
88	1.868135718
89	1.867825879
90	1.867240269
91	1.866877209
92	1.866061786
93	1.865712692
94	1.865171613
95	1.864587933
96	1.864039525
97	1.863410424
98	1.863124592
99	1.862750635
100	1.862440448
101	1.861632542
102	1.861361155
103	1.860933543
104	1.860349128
105	1.859987313
106	1.859172881
107	1.858645364
108	1.858341745
109	1.858068203
110	1.857833229
111	1.857502953
112	1.856924249
113	1.856294633
114	1.855697486
115	1.854981122
116	1.854363481
117	1.853875613
118	1.853243116
119	1.853112816
120	1.852760623
121	1.852245919
122	1.851954097
123	1.851725315
124	1.851252659
125	1.85107642
126	1.850488679
127	1.849990866
128	1.849381663
129	1.848749659
130	1.848377889
131	1.847782952
132	1.847013829
133	1.846529007
134	1.846013873
135	1.845730908
136	1.84540553
137	1.844776951
138	1.844327491
139	1.843821064
140	1.843316103
141	1.84275013
142	1.842213835
143	1.841852401
144	1.841531829
145	1.841047693
146	1.840496155
147	1.840383277
148	1.840023675
149	1.839691418
150	1.839273936
151	1.838958563
152	1.838640431
153	1.838223868
154	1.83779097
155	1.837599905
156	1.837346379
157	1.836980792
158	1.836431809
159	1.835753202
160	1.835336154
161	1.835243063
162	1.834689759
163	1.83432212
164	1.83388639
165	1.833787163
166	1.833413296
167	1.832946641
168	1.832659471
169	1.832215494
170	1.831782907
171	1.831249217
172	1.830780979
173	1.830516473
174	1.830171502
175	1.829750788
176	1.829313397
177	1.82886261
178	1.828747941
179	1.828267303
180	1.827966
181	1.827421979
182	1.827212353
183	1.826939018
184	1.826615219
185	1.826096276
186	1.82607616
187	1.825764548
188	1.825382478
189	1.825186489
190	1.824815073
191	1.824397992
192	1.824113186
193	1.823710236
194	1.823542745
195	1.823312521
196	1.823109274
197	1.822717789
198	1.822275029
199	1.821914533
200	1.821553189
201	1.821155395
202	1.820888835
203	1.820494283
204	1.820118855
205	1.819964455
206	1.819841925
207	1.819381001
208	1.81914126
209	1.818862383
210	1.818757002
211	1.818483335
212	1.818305191
213	1.817923251
214	1.817804694
215	1.81764895
216	1.817592999
217	1.8172796
218	1.816905053
219	1.816635
220	1.816367871
221	1.815964847
222	1.815732473
223	1.81564392
224	1.815370498
225	1.814958182
226	1.814529033
227	1.814208683
228	1.813874291
229	1.813532671
230	1.813042683
231	1.812773102
232	1.812521097
233	1.812202197
234	1.811862339
235	1.811739745
236	1.811477057
237	1.811177007
238	1.811029727
239	1.810731949
240	1.810363415
241	1.810238029
242	1.810222866
243	1.810017284
244	1.809656726
245	1.809387332
246	1.809010461
247	1.808582721
248	1.808165201
249	1.807900774
250	1.807539173
251	1.807240864
252	1.807116047
253	1.806911821
254	1.806750535
255	1.806317229
256	1.806029106
257	1.805686429
258	1.80533088
259	1.80496412
260	1.804586303
261	1.804327968
262	1.804133714
263	1.80391498
264	1.803733939
265	1.803498097
266	1.803337348
267	1.80309461
268	1.802830893
269	1.802610501
270	1.802462587
271	1.802216538
272	1.802061809
273	1.80177029
274	1.801615591
275	1.801263056
276	1.801036332
277	1.800660685
278	1.800466908
279	1.800224444
280	1.800100172
281	1.799793451
282	1.799681406
283	1.799460717
284	1.799266164
285	1.798991596
286	1.798681224
287	1.798459992
288	1.798248025
289	1.798140126
290	1.797915058
291	1.797601065
292	1.797325093
293	1.797020676
294	1.796927033
295	1.796719689
296	1.796523625
297	1.796242482
298	1.796051148
299	1.795739698
300	1.795586729
