iter	Passed	Remaining
0	1265	1897694
1	2764	2070870
2	4337	2164532
3	5454	2039965
4	6584	1968726
5	8008	1994186
6	9051	1930643
7	10175	1897768
8	11361	1882248
9	13386	1994614
10	14451	1956147
11	15625	1937501
12	16724	1913053
13	17874	1897229
14	18989	1879970
15	20040	1858776
16	21173	1847050
17	22278	1834229
18	23332	1818730
19	24399	1805555
20	25450	1792473
21	26922	1808707
22	28799	1849403
23	29962	1842666
24	31238	1843084
25	32515	1843398
26	33760	1841832
27	35216	1851404
28	36368	1844767
29	37488	1836935
30	38672	1832558
31	39842	1827778
32	42322	1881423
33	44623	1924052
34	45721	1913780
35	46871	1906118
36	47931	1895220
37	49020	1885994
38	50032	1874307
39	51107	1865431
40	52206	1857777
41	53207	1847050
42	54181	1835857
43	55233	1827726
44	56930	1840766
45	58287	1842402
46	59320	1833885
47	60474	1829360
48	61488	1820825
49	62808	1821457
50	63999	1818344
51	65262	1817297
52	66433	1813751
53	67609	1810436
54	68874	1809528
55	71199	1835925
56	73381	1857721
57	75453	1875937
58	78087	1907186
59	79496	1907905
60	80988	1910521
61	82457	1912487
62	83778	1910955
63	85068	1908721
64	86194	1902917
65	87812	1907929
66	89499	1914228
67	91031	1917020
68	92975	1928222
69	97301	1987738
70	98949	1991535
71	100327	1989830
72	101596	1986001
73	103059	1985984
74	104389	1983393
75	105757	1981570
76	107341	1983724
77	108758	1982744
78	110223	1982622
79	111960	1987304
80	115134	2016987
81	116319	2011478
82	118110	2016413
83	120397	2029563
84	122086	2032381
85	123971	2038326
86	127314	2067755
87	129477	2077525
88	131194	2079948
89	133376	2089560
90	135467	2097519
91	138450	2118900
92	140125	2119961
93	141818	2121246
94	143211	2118017
95	145085	2121874
96	146378	2117205
97	148214	2120374
98	149917	2121565
99	151927	2126983
100	154252	2136622
101	157063	2152694
102	158721	2152752
103	160230	2150781
104	162182	2154715
105	163742	2153367
106	165228	2151056
107	166583	2147076
108	168004	2143988
109	169328	2139693
110	170859	2138052
111	172391	2136429
112	174137	2137424
113	175572	2134593
114	177575	2138628
115	179958	2147088
116	182168	2153326
117	184047	2155534
118	185722	2155318
119	187335	2154353
120	189062	2154689
121	190465	2151317
122	191857	2147867
123	193168	2143552
124	194540	2139942
125	196077	2138178
126	197515	2135343
127	198867	2131608
128	200306	2128835
129	202293	2131857
130	204109	2133021
131	205662	2131408
132	207191	2129550
133	208986	2130418
134	210955	2132992
135	212948	2135747
136	216942	2158342
137	219404	2165429
138	221139	2165262
139	222538	2161805
140	224186	2160775
141	226286	2164068
142	227782	2161540
143	229452	2160675
144	231040	2159033
145	232493	2156134
146	234234	2155914
147	235662	2152806
148	237061	2149467
149	238670	2148036
150	241586	2158278
151	243245	2157202
152	244734	2154622
153	246163	2151532
154	247421	2146978
155	248760	2143167
156	250232	2140525
157	251649	2137427
158	253441	2137517
159	255244	2137668
160	256721	2135092
161	258177	2132354
162	260077	2133275
163	261948	2133924
164	263529	2132195
165	265026	2129793
166	266479	2127048
167	267750	2122882
168	270066	2126973
169	271918	2127359
170	273506	2125673
171	274699	2120936
172	276081	2117685
173	277771	2116809
174	279070	2112965
175	280512	2110217
176	282280	2109927
177	283937	2108791
178	285932	2110149
179	287284	2106756
180	288522	2102547
181	289964	2099853
182	291170	2095470
183	292421	2091447
184	293638	2087213
185	295239	2085722
186	296238	2080009
187	297532	2076397
188	298811	2072711
189	300195	2069768
190	301743	2067968
191	303319	2066364
192	304886	2064695
193	306596	2063992
194	308105	2061934
195	309886	2061692
196	311407	2059715
197	312855	2057258
198	314118	2053610
199	315289	2049384
200	316490	2045376
201	317813	2042188
202	318904	2037534
203	320093	2033537
204	321078	2028277
205	322314	2024633
206	323905	2023235
207	324846	2017798
208	326037	2013943
209	328817	2019880
210	330089	2016520
211	331993	2017017
212	333750	2016602
213	335244	2014597
214	336694	2012339
215	338003	2009245
216	339170	2005326
217	340901	2004751
218	342020	2000585
219	343111	1996286
220	344260	1992348
221	346288	1993500
222	347660	1990861
223	348957	1987813
224	350056	1983653
225	351325	1980482
226	352514	1976876
227	353907	1974434
228	355090	1970827
229	356320	1967509
230	357679	1964916
231	358866	1961389
232	360011	1957661
233	362017	1958607
234	363758	1958106
235	365114	1955527
236	366403	1952604
237	367730	1949896
238	369256	1948253
239	370991	1947707
240	372625	1946620
241	374285	1945664
242	375622	1943034
243	376955	1940395
244	378864	1940715
245	381742	1945954
246	383266	1944263
247	384705	1942144
248	386255	1940585
249	387906	1939531
250	389567	1938524
251	391024	1936503
252	392521	1934681
253	394113	1933327
254	395562	1931277
255	397618	1932176
256	399981	1934540
257	401570	1933143
258	403328	1932548
259	405053	1931793
260	406353	1929010
261	407714	1926526
262	408958	1923504
263	410136	1920184
264	411316	1916888
265	412503	1913643
266	413705	1910481
267	414787	1906783
268	415917	1903323
269	417551	1902177
270	419319	1901637
271	420836	1899952
272	422436	1898641
273	423782	1896192
274	425145	1893831
275	426530	1891571
276	427748	1888579
277	429024	1885856
278	430244	1882898
279	431462	1879942
280	432874	1877845
281	434651	1877324
282	435987	1874900
283	437272	1872264
284	438402	1868978
285	439566	1865851
286	440690	1862570
287	441963	1859931
288	443291	1857530
289	444425	1854327
290	445578	1851218
291	446807	1848434
292	448066	1845788
