iter	RMSE
0	2.727367994
1	2.692273878
2	2.65877984
3	2.626873863
4	2.596389463
5	2.567231467
6	2.539772681
7	2.513509712
8	2.488376278
9	2.464334254
10	2.441175398
11	2.418991291
12	2.398211171
13	2.37822814
14	2.358931705
15	2.341206353
16	2.32366024
17	2.30714887
18	2.291040883
19	2.275864046
20	2.261382345
21	2.247723919
22	2.234925269
23	2.222431631
24	2.210793002
25	2.199532939
26	2.188582879
27	2.178389943
28	2.168655737
29	2.159508014
30	2.150511004
31	2.142112435
32	2.133909088
33	2.126386252
34	2.119110165
35	2.112022342
36	2.105381825
37	2.099139671
38	2.092883576
39	2.087187915
40	2.081673185
41	2.076450393
42	2.071176564
43	2.065960631
44	2.061448674
45	2.057214405
46	2.053098561
47	2.049201112
48	2.045124124
49	2.041406632
50	2.037991079
51	2.034395789
52	2.031114087
53	2.028089821
54	2.024683272
55	2.021868317
56	2.018756761
57	2.016108706
58	2.013275983
59	2.01086632
60	2.008529977
61	2.005987642
62	2.003717799
63	2.001667876
64	1.999323285
65	1.997208649
66	1.995262578
67	1.993163275
68	1.991377685
69	1.989660868
70	1.987755044
71	1.985942735
72	1.984502406
73	1.982754866
74	1.981295576
75	1.979524491
76	1.977475021
77	1.975854668
78	1.974592294
79	1.972656612
80	1.97108867
81	1.969429294
82	1.968086957
83	1.9669618
84	1.965928893
85	1.96495156
86	1.963644902
87	1.962658206
88	1.961286403
89	1.960133262
90	1.958808088
91	1.957954408
92	1.957064179
93	1.956343281
94	1.955657487
95	1.954893822
96	1.953963559
97	1.952634986
98	1.951781643
99	1.950944907
100	1.950087215
101	1.949185058
102	1.948528813
103	1.947808731
104	1.947201276
105	1.946187074
106	1.94571136
107	1.944613121
108	1.943627073
109	1.943093404
110	1.942497108
111	1.941954694
112	1.940907361
113	1.939876314
114	1.939190269
115	1.938582545
116	1.93798905
117	1.937473256
118	1.936665582
119	1.936177405
120	1.935638934
121	1.935017682
122	1.934325306
123	1.933881704
124	1.9332989
125	1.932859108
126	1.932195638
127	1.931644637
128	1.931072582
129	1.930619338
130	1.929943009
131	1.9296071
132	1.929134087
133	1.928562408
134	1.928171495
135	1.927387087
136	1.926960117
137	1.926455361
138	1.925858661
139	1.925242635
140	1.924565438
141	1.923719824
142	1.923110326
143	1.922671072
144	1.921938325
145	1.921603808
146	1.92111902
147	1.920849495
148	1.920419335
149	1.920041087
150	1.919570125
151	1.91898311
152	1.91839473
153	1.917988373
154	1.917545049
155	1.917300268
156	1.916872485
157	1.916181996
158	1.91548191
159	1.915009754
160	1.914599056
161	1.914346438
162	1.913756554
163	1.913363267
164	1.912887635
165	1.912676409
166	1.912325101
167	1.911908583
168	1.911378545
169	1.911228845
170	1.910746687
171	1.910415137
172	1.910080764
173	1.909914577
174	1.909573364
175	1.909177546
176	1.908759696
177	1.908581974
178	1.908212141
179	1.907890611
180	1.907524516
181	1.907151876
182	1.906723701
183	1.906127112
184	1.905680789
185	1.905183613
186	1.904558573
187	1.904202343
188	1.903785185
189	1.903468196
190	1.902812141
191	1.902257617
192	1.901914378
193	1.901556768
194	1.901172904
195	1.900867109
196	1.900711305
197	1.90001818
198	1.899737274
199	1.899285496
200	1.899063553
201	1.898802853
202	1.898514519
203	1.898081582
204	1.897826726
205	1.897467651
206	1.897135739
207	1.896761029
208	1.896275721
209	1.895711694
210	1.895476382
211	1.89507601
212	1.894814283
213	1.894461372
214	1.893983221
215	1.893678985
216	1.893394744
217	1.893256863
218	1.893019816
219	1.892621321
220	1.892438489
221	1.8921545
222	1.891793805
223	1.891554324
224	1.891100742
225	1.890808271
226	1.890365722
227	1.890036454
228	1.889614933
229	1.889274359
230	1.889029962
231	1.888501302
232	1.888370407
233	1.887976348
234	1.887824574
235	1.887628676
236	1.887157106
237	1.88684836
238	1.886541901
239	1.886275744
240	1.885955068
241	1.885573082
242	1.885389751
243	1.885119615
244	1.884802844
245	1.884160352
246	1.883737208
247	1.883486113
248	1.883389195
249	1.883192508
250	1.882846522
251	1.882490076
252	1.88212769
253	1.881939891
254	1.88147615
255	1.881199168
256	1.880877045
257	1.8804674
258	1.880316309
259	1.879961199
260	1.879826245
261	1.879386847
262	1.87894642
263	1.878644643
264	1.878419155
265	1.878120249
266	1.877933148
267	1.877578493
268	1.877262803
269	1.876983432
270	1.876856745
271	1.876556097
272	1.876355083
273	1.876030571
274	1.875914321
275	1.875510529
276	1.875129779
277	1.874747837
278	1.874419995
279	1.873930928
280	1.87359593
281	1.87329039
282	1.872794771
283	1.872592612
284	1.872206091
285	1.87216528
286	1.871936016
287	1.871809394
288	1.871598677
289	1.871306952
290	1.871103723
291	1.870932932
292	1.870538584
293	1.870297979
294	1.870024413
295	1.869756887
296	1.8694741
297	1.869073731
298	1.868687216
299	1.86852315
300	1.868252705
301	1.868159098
302	1.868046001
303	1.867720197
304	1.867541004
305	1.867387316
306	1.867021445
307	1.86683265
308	1.866746675
309	1.86672028
310	1.866534592
311	1.86642679
312	1.866207195
313	1.865964747
314	1.865681406
315	1.865569579
316	1.865420833
317	1.865190375
318	1.864908224
319	1.864653813
320	1.864305346
