iter	Passed	Remaining
0	543	1086097
1	1211	1209976
2	1821	1212749
3	2333	1164242
4	2984	1190617
5	3537	1175668
6	4051	1153624
7	4501	1120929
8	5085	1124971
9	5562	1106998
10	6130	1108518
11	6600	1093518
12	7099	1085136
13	7532	1068519
14	8064	1067260
15	8579	1063895
16	9009	1050896
17	9547	1051330
18	10076	1050613
19	10570	1046458
20	11070	1043284
21	11517	1035496
22	12039	1034844
23	12775	1051827
24	13337	1053659
25	13757	1044481
26	14191	1037017
27	14627	1030211
28	15132	1028494
29	15635	1026737
30	16164	1026723
31	16643	1023572
32	17250	1028260
33	17795	1028982
34	18390	1032523
35	18936	1033073
36	19435	1031122
37	19897	1027326
38	20422	1026884
39	20962	1027186
40	21432	1024043
41	21895	1020749
42	22431	1020890
43	22915	1018686
44	23546	1022963
45	24050	1021634
46	24571	1021031
47	25050	1018736
48	25658	1021610
49	26196	1021647
50	26726	1021362
51	27301	1022740
52	27900	1024937
53	28402	1023534
54	28946	1023636
55	29396	1020494
56	30125	1026924
57	30565	1023431
58	31005	1020023
59	31483	1017953
60	31896	1013906
61	32442	1014091
62	32974	1013842
63	33521	1014020
64	34060	1013954
65	34632	1014847
66	35125	1013398
67	35663	1013272
68	36316	1016338
69	36959	1019013
70	37800	1027000
71	38463	1029958
72	39081	1031638
73	39602	1030742
74	40332	1035211
75	40930	1036179
76	41629	1039662
77	42268	1041538
78	42802	1040805
79	43403	1041685
80	43942	1041052
81	44475	1040303
82	45002	1039393
83	45615	1040476
84	46168	1040158
85	46672	1038740
86	47284	1039712
87	48080	1044648
88	48704	1045773
89	49194	1044014
90	49658	1041741
91	50161	1040306
92	50638	1038364
93	51154	1037243
94	51610	1034921
95	52015	1031642
96	52404	1028100
97	52817	1025096
98	53314	1023744
99	53705	1020399
100	54262	1020239
101	54729	1018395
102	55124	1015247
103	55557	1012852
104	55980	1010322
105	56419	1008103
106	56825	1005330
107	57341	1004536
108	57884	1004223
109	58335	1002306
110	58826	1001110
111	59347	1000426
112	59820	998954
113	60384	999000
114	60921	998590
115	61358	996546
116	61900	996233
117	62363	994643
118	62701	991102
119	63056	987886
120	63448	985287
121	63821	982430
122	64235	980243
123	64601	977356
124	64987	974814
125	65476	973829
126	66066	974346
127	66721	975806
128	67295	976051
129	67755	974630
130	68243	973644
131	68675	971856
132	69084	969775
133	69520	968093
134	69930	966082
135	70353	964255
136	70714	961613
137	71219	960947
138	71669	959549
139	72238	959736
140	72770	959435
141	73292	958990
142	73719	957316
143	74063	954592
144	74462	952605
145	74855	950557
146	75253	948609
147	75685	947092
148	76183	946413
149	76669	945588
150	77186	945150
151	77659	944174
152	78123	943100
153	78546	941535
154	78991	940248
155	79443	939060
156	79878	937683
157	80294	936097
158	80662	933956
159	81123	932925
160	81535	931328
161	81998	930331
162	82416	928829
163	82753	926437
164	83180	925070
165	83585	923467
166	83994	921926
167	84444	920848
168	84869	919502
169	85285	918068
170	85716	916820
171	86140	915493
172	86550	914033
173	86905	912013
174	87371	911161
175	87889	910856
176	88293	909371
177	88683	907756
178	89157	907015
179	89613	906094
180	89976	904235
181	90476	903773
182	90896	902512
183	91425	902325
184	91894	901558
185	92274	899923
186	92652	898285
187	93017	896533
188	93412	895082
